[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.001892s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.002026s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ route_check ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.000901s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001014s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001076s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001244s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | NOTIC: [8] Undefined index:  action IndexAction.class.php 第 19 行.
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | SQL: SHOW COLUMNS FROM `my_module` [ RunTime:0.002614s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | SQL: SELECT * FROM `my_module` WHERE pid=0  [ RunTime:0.000796s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_template ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.002858s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.002962s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_parse ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | NOTIC: [8] Undefined index:  action 8d630bfcc3f8428cb093c5301748865f.php 第 32 行.
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.019858s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019952s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.001257s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.001269s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000892s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.001140s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004795s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --START--
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.001147s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001220s ]
[ 2012-10-15T18:23:36+08:00 ] /index.php/Admin/index/skin/images/frame/wbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.001092s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.001239s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000664s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000775s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_module` [ RunTime:0.002948s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | SQL: SELECT * FROM `my_module` WHERE pid=0  [ RunTime:0.002074s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.002873s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.003192s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.015325s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015444s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.000484s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.000499s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000315s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.000996s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002550s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Run ShowPageTrace Behavior [ RunTime:0.000600s ]
[ 2012-10-15T18:23:38+08:00 ] /index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --END-- [ RunTime:0.000686s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.000993s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.001132s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000681s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000787s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | SQL: SHOW COLUMNS FROM `my_setting` [ RunTime:0.002664s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | SQL: SELECT * FROM `my_setting`  [ RunTime:0.000888s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.002620s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.002696s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.014782s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014894s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.000510s ]
[ 2012-10-15T18:23:39+08:00 ] /index.php/Admin/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
