[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.001744s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.001841s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001286s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.001841s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007399s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowPageTrace Behavior [ RunTime:0.001689s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --END-- [ RunTime:0.001907s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.004151s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.004487s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002610s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.012462s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015667s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.016686s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.001105s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.003433s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.003911s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.049314s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049694s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.002322s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.002721s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002276s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.004470s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012942s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
