[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | SQL: SELECT * FROM `my_category` WHERE pid!=0  [ RunTime:0.000286s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run LocationTemplate Behavior [ RunTime:0.001092s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_template ] --END-- [ RunTime:0.001168s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run ParseTemplate Behavior [ RunTime:0.001310s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001386s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run ContentReplace Behavior [ RunTime:0.000361s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run TokenBuild Behavior [ RunTime:0.000422s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000216s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run ShowRuntime Behavior [ RunTime:0.000475s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001659s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Run ShowPageTrace Behavior [ RunTime:0.000451s ]
[ 2012-10-23T09:57:35+08:00 ] /index.php/Admin/Menu/menu/action/Member | INFO: Tag[ view_end ] --END-- [ RunTime:0.000513s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.001072s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.001225s ]
[ 2012-10-23T09:57:36+08:00 ] /index.php/Admin/Menu/menu/action/Setting | INFO: Tag[ app_begin ] --START--
