[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run LocationTemplate Behavior [ RunTime:0.001580s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_template ] --END-- [ RunTime:0.001693s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ParseTemplate Behavior [ RunTime:0.004169s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004281s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ContentReplace Behavior [ RunTime:0.000852s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run TokenBuild Behavior [ RunTime:0.000834s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000600s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ShowRuntime Behavior [ RunTime:0.000901s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003451s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Run ShowPageTrace Behavior [ RunTime:0.001054s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/Procates | INFO: Tag[ view_end ] --END-- [ RunTime:0.001181s ]
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/skin/images/allbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/skin/images/frame/search.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/skin/images/newlinebg3.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-23T15:42:59+08:00 ] /index.php/Admin/Product/skin/images/tbg.gif | ERR: (ThinkException) 非法操作skin
